Repo Name,URL,Languages,Lang Used,,Laguage,Percentage,Count
Kav-K/GPTDiscord,https://github.com/Kav-K/GPTDiscord,"Python: 99.6%,
Dockerfile: 0.4%",Multi-language,,,,
Jaykef/awesome-openAI,https://github.com/Jaykef/awesome-openAI,"Jupyter Notebook: 99.5%,
Python: 0.5%",Multi-language,,,,
IntelligenzaArtificiale/Free-Auto-GPT,https://github.com/IntelligenzaArtificiale/Free-Auto-GPT,"Python: 50.8%,
Jupyter Notebook: 49.0%,
Dockerfile: 0.2%",Multi-language,,,,
FujiwaraChoki/Omni-GPT,https://github.com/FujiwaraChoki/Omni-GPT,"Python: 58.1%,
HTML: 41.9%",Multi-language,,,,
Farama-Foundation/chatarena,https://github.com/Farama-Foundation/chatarena,"Python: 98.9%,
Jupyter Notebook: 1.1%",Multi-language,,,,
craigsdennis/talks-wrapping-your-brain-around-langchain,https://github.com/craigsdennis/talks-wrapping-your-brain-around-langchain,Python: 100.0%,Python,,,,
FanaHOVA/smol-podcaster,https://github.com/FanaHOVA/smol-podcaster,"Python: 61.4%,
HTML: 38.4%,
Procfile: 0.3%",Multi-language,,,,
BrettlyCD/text-to-sql,https://github.com/BrettlyCD/text-to-sql,"Jupyter Notebook: 95.1%,
Python: 4.9%",Multi-language,,,,
Azure-Samples/function-python-ai-langchain,https://github.com/Azure-Samples/function-python-ai-langchain,"Bicep: 91.8%,
Python: 6.6%,
Dockerfile: 1.6%",Multi-language,,,,
AutoLLM/AutoAgents,https://github.com/AutoLLM/AutoAgents,"Python: 81.0%,
Jupyter Notebook: 16.5%,
Shell: 2.5%",Multi-language,,,,
AugustWasilowski/SecondShiftAugie,https://github.com/AugustWasilowski/SecondShiftAugie,Python: 100.0%,Python,,,,
Ananya2001-an/Architect,https://github.com/Ananya2001-an/Architect,"Jupyter Notebook: 93.9%,
Python: 6.1%",Multi-language,,,,
0ptim/JellyChat,https://github.com/0ptim/JellyChat,"Python: 95.5%,
PLpgSQL: 4.0%,
Dockerfile: 0.6%",Multi-language,,,,
MokoSan/ShlokGPT,https://github.com/MokoSan/ShlokGPT,Python: 100.0%,Python,,,,
Mj23978/sam-assistant,https://github.com/Mj23978/sam-assistant,"Python: 99.4%,
Dockerfile: 0.6%",Multi-language,,,,
NakulManchanda/lang,https://github.com/NakulManchanda/lang,Python: 100.0%,Python,,,,
bigsky77/twitter-agent,https://github.com/bigsky77/twitter-agent,Python: 100.0%,Python,,,,
bflaven/ia_usages,https://github.com/bflaven/ia_usages,"Python: 63.9%,
Jupyter Notebook: 30.5%,
HTML: 2.1%,
JavaScript: 1.5%,
PHP: 0.8%,
Vue: 0.5%,
Makefile: 0.3%,
CSS: 0.2%,
Dockerfile: 0.2%,
Gherkin: 0.1%,
Shell: 0.0%,
Procfile: 0.0%",Multi-language,,,,
amosjyng/langchain-contrib,https://github.com/amosjyng/langchain-contrib,"Python: 98.9%,
Makefile: 0.9%,
Shell: 0.2%",Multi-language,,,,
zainbaq/webgpt,https://github.com/zainbaq/webgpt,Python: 100.0%,Python,,,,
alexdphan/babyagi-chroma-agent,https://github.com/alexdphan/babyagi-chroma-agent,Python: 100.0%,Python,,,,
ajithksenthil/PolicyWeb,https://github.com/ajithksenthil/PolicyWeb,"Python: 93.3%,
Jupyter Notebook: 5.4%,
HTML: 1.2%",Multi-language,,,,
adithya-s-k/Storyblocks,https://github.com/adithya-s-k/Storyblocks,"Jupyter Notebook: 95.3%,
Python: 4.7%",Multi-language,,,,
XinyueZ/chat-your-doc,https://github.com/XinyueZ/chat-your-doc,"Jupyter Notebook: 98.5%,
Python: 1.5%,
Shell: 0.0%,
Dockerfile: 0.0%",Multi-language,,,,
TiltonLAW/LegalWRITER,https://github.com/TiltonLAW/LegalWRITER,"Python: 61.1%,
JavaScript: 16.9%,
CSS: 14.5%,
HTML: 6.9%,
Batchfile: 0.6%",Multi-language,,,,
Sujan-Roy/Pet-Name-Generator-Application-using-Langchain-Framework,https://github.com/Sujan-Roy/Pet-Name-Generator-Application-using-Langchain-Framework,Python: 100.0%,Python,,,,
